structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
a.39.1.0,2,102,162,20230,0.200234171007247,0.279493530364282,0.000373134328358209,0.388910692130237,./generated_files/OUT/OUT
f.37.1.1,1,28,162,20230,0.206628780022066,0.285445943535638,0.000373134328358209,0.649322836885954,./generated_files/OUT/OUT
b.1.2.1,1,29,162,20230,0.212940528666,0.291163580012694,0.000373134328358209,0.634082870329218,./generated_files/OUT/OUT
a.238.1.0,1,32,162,20230,0.231577902582871,0.313448878243482,0.000373134328358209,0.591330889908268,./generated_files/OUT/OUT
b.1.18.0,1,33,162,20230,0.237692366936797,0.318507771695308,0.000373134328358209,0.577966928350286,./generated_files/OUT/OUT
g.45.1.1,1,34,162,20230,0.243758475422711,0.323402333729141,0.000373134328358209,0.565001951185919,./generated_files/OUT/OUT
a.7.1.1,1,35,162,20230,0.249776608103436,0.3281378969202,0.000373134328358209,0.552412823877898,./generated_files/OUT/OUT
a.29.2.1,1,36,162,20230,0.255747142073138,0.332719582891267,0.000373134328358209,0.540178367460886,./generated_files/OUT/OUT
c.69.1.0,1,38,162,20230,0.267546907550927,0.344723900113694,0.000373134328358209,0.516697271611364,./generated_files/OUT/OUT
c.93.1.1,1,39,162,20230,0.273376878610562,0.348880968893479,0.000373134328358209,0.505416261201674,./generated_files/OUT/OUT
d.169.1.0,1,42,162,20230,0.290591521952053,0.367351546618633,0.000373134328358209,0.473231577830273,./generated_files/OUT/OUT
a.2.3.1,1,43,162,20230,0.296239179008604,0.367556018399564,0.000373134328358209,0.463012412648587,./generated_files/OUT/OUT
g.49.1.1,1,43,162,20230,0.296239179008604,0.367556018399564,0.000373134328358209,0.463012412648587,./generated_files/OUT/OUT
a.118.1.10,1,44,162,20230,0.301842149964011,0.371072000873188,0.000373134328358209,0.453028191741986,./generated_files/OUT/OUT
g.39.1.2,1,45,162,20230,0.307400786210427,0.374470048656338,0.000373134328358209,0.44326835445283,./generated_files/OUT/OUT
