structure,counts_observed,background_counts,number_of_genes_in_set,total_number_proteins_proteome,pvalue,fdr,bonforroni_cutoff,log_fold_change,name
IPR024140,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR006052,2,17,162,20230,0.00981540910117999,0.0680981530461875,0.000231481481481481,1.16706194251388,./generated_files/OUT/OUT
IPR007209,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR014771,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR001204,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR005141,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR003502,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR029065,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR015142,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR000197,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR015076,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR000719,9,482,162,20230,0.0168123910284771,0.0680981530461875,0.000231481481481481,0.367676339428649,./generated_files/OUT/OUT
IPR024829,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR014048,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR011680,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR015040,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR019366,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR028192,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR028261,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR013803,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR003101,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR030277,1,1,162,20230,0.0158258584877494,0.0680981530461875,0.000231481481481481,2.09648086822817,./generated_files/OUT/OUT
IPR010548,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR013566,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR002205,1,2,162,20230,0.0236451920299262,0.0680981530461875,0.000231481481481481,1.79545087256419,./generated_files/OUT/OUT
IPR014928,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR001612,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR003093,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR014815,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR015849,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR024329,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR001424,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR019543,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR021849,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR011178,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
IPR008154,1,3,162,20230,0.0314027808715145,0.0788721007935713,0.000231481481481481,1.61935961350851,./generated_files/OUT/OUT
